id,location_name,location_url,location_zip,location_address,room_number,location_phone,locations_hours,services,services_contact,eligibility,how_best_to_access,category,search_keywords,organization
11,Challenging Minds Media & Technology Academy,,90248,"16425 Ishida Ave Carson, CA",,562.270.5395,,John Muir Charter School is a statewide WASC accredited high school diploma program that serves youth 16-24 that have been pushed out of the traditional education system. We offer a rigorous academic program with full-time accredited teachers and academic tutors in tandem with career and college readiness programs at our school sites.,Kenta Darley-Usmar646.283.2292kdarleyusmar@johnmuircs.com,Ages 16-25 and                                                                    in need of a high-school diploma,"Call 213.744.2254 to schedule an appointment.  Bring the following documents: picture ID, birth certificate, social security, proof of address and high school transcripts. However,  the documents should not be a barrier to enrollment.",School (K-12),Diploma|Alternative Graduation,John Muir Charter Schools
12,Challenging Minds Media & Technology Academy,,90248,"16425 Ishida Ave Carson, CA",,562.270.5395,,John Muir Charter School is a statewide WASC accredited high school diploma program that serves youth 16-24 that have been pushed out of the traditional education system. We offer a rigorous academic program with full-time accredited teachers and academic tutors in tandem with career and college readiness programs at our school sites.,Kenta Darley-Usmar646.283.2292kdarleyusmar@johnmuircs.com,Ages 16-25 and                                                                    in need of a high-school diploma,"Call 213.744.2254 to schedule an appointment.  Bring the following documents: picture ID, birth certificate, social security, proof of address and high school transcripts. However,  the documents should not be a barrier to enrollment.",Work,Job Training,John Muir Charter Schools
13,Olin Virtual Academy,http://www.olinacademy.org/,91214,"2600 Foothill Blvd. Suite 301 La Crescenta, CA",,1800.985.0770,Monday- Friday: 8:00 am - 4:00 pm,Los Angeles County Online High School managed and operated by Olin Virtual Academy. Receive your High School Diploma for FREE in a flexible academic environment & bully-free zone by fully credentialed teachers all in a complete 100% virtual environment,,"High School Students, 18 and under are eligible regardless of the number of credits they have; Students age 19 may enroll if : They have been continuously enrolled in a public school; *Not Eligible: If student has attended a non-public school, community college, or adult school.","In order to complete the student registration, we require the following documents (which can be emailed, faxed, or mailed): Birth Certificate; Proof of Residency; Immunization Records; Student Transcripts; Free & Reduced Lunch Application; Media Release. Email: documents@olinacademy.org; Fax: (800) 985-0770; Mail: 2600 Foothill Boulevard, Suite 301 La Crescenta, CA. 91214                                         Complete a pre-registration form here: https://docs.google.com/forms/d/1h9emHBJKONlrNO_1aTVY7niO0K3tS4p_-V-tkHIED9o/viewform. Email: admissions@olinacademy.org with any questions regarding the enrollment process, eligibilty and requirements.",School (K-12),Diploma|Alternative Graduation,Olin Virtual Academy
14,A Place Called Home,http://www.apch.org/,90011,"2830 S. Central Avenue Los Angeles, CA",,323.232.7653,Monday-Friday: 9:00 a.m.-6:00 p.m.,The APCH/LAUSD Alternative Education Work Center (AEWC) offers another chance for many young people who have dropped out or been kicked out of the regular schools and/or may have been incarcerated or caught up in the Juvenile Justice system. rovides them with the instruction and academic credits they need to graduate from high school or attain their GED.,Joe Alvarez(323) 235-612,Ages 8 to 21,"Documents required to compelete the application include: birth certificate, immunization records and  most recent report card.",School (K-12),Diploma|Alternative Graduation,A Place Called Home
15,Slauson (Home Sweet Home YB) site,http://www.homesweethomeyb.com/,90047,"1512 West Slauson Ave,Los Angeles",,323.750.7035,,"YouthBuild Charter School of California (YCSC) holds a unique place in the landscape of  California’s public charter schools. As a competency-based dropout recovery school, it seeks to provide a high school education that leads to a diploma for a distinct group of students. Students enroll at YouthBuild programs over-aged, under-credited, or both, in order to receive vocational training, counseling, leadership development and an education.",,"Ages of 16 to 24 years old, come from low-income families and underserved communities, and have previously left or been pushed out of the traditional school system without a diploma.","Pick up enrollment packets from 9:00 am – 2:00 pm Monday-Wednesday or download packet here: YCSC 14-15 Appl.WASC.rev.8.1. To enroll, you must have: transcripts, birth certificate, immunizations records if under 18, utility bill to show address, and proof of income.",School (K-12),Diploma|Alternative Graduation,YouthBuild Charter School of California
16,South LA Site at All People’s Community Center,,90011,"822 E. 20th St. Los Angeles, CA",,213.747.6357,,"YouthBuild Charter School of California (YCSC) holds a unique place in the landscape of  California’s public charter schools. As a competency-based dropout recovery school, it seeks to provide a high school education that leads to a diploma for a distinct group of students. Students enroll at YouthBuild programs over-aged, under-credited, or both, in order to receive vocational training, counseling, leadership development and an education.",,"Ages of 16 to 24 years old, come from low-income families and underserved communities, and have previously left or been pushed out of the traditional school system without a diploma.",,School (K-12),Diploma|Alternative Graduation,YouthBuild Charter School of California
17,Lincoln Heights at LEAD Inc.,http://www.leadinc.org/,90031,"2310 Pasadena Ave. Los Angeles, CA",,213.596.7800,,"YouthBuild Charter School of California (YCSC) holds a unique place in the landscape of  California’s public charter schools. As a competency-based dropout recovery school, it seeks to provide a high school education that leads to a diploma for a distinct group of students. Students enroll at YouthBuild programs over-aged, under-credited, or both, in order to receive vocational training, counseling, leadership development and an education.",,"Ages of 16 to 24 years old, come from low-income families and underserved communities, and have previously left or been pushed out of the traditional school system without a diploma.",,School (K-12),Diploma|Alternative Graduation,YouthBuild Charter School of California
18,Boyle Heights Site at YouthBuild Boyle Heights (CALO),http://caloinc.org/,90063,"3626 E. 5th St. Los Angeles, CA",,323.261.2800,,"YouthBuild Charter School of California (YCSC) holds a unique place in the landscape of  California’s public charter schools. As a competency-based dropout recovery school, it seeks to provide a high school education that leads to a diploma for a distinct group of students. Students enroll at YouthBuild programs over-aged, under-credited, or both, in order to receive vocational training, counseling, leadership development and an education.",,"Ages of 16 to 24 years old, come from low-income families and underserved communities, and have previously left or been pushed out of the traditional school system without a diploma.",,School (K-12),Diploma|Alternative Graduation,YouthBuild Charter School of California
19,Compton YouthBuild ,http://www.comptonyouthbuild.org/,90221,"477 East Compton Blvd. Compton, CA",,310.631.2000,,"YouthBuild Charter School of California (YCSC) holds a unique place in the landscape of  California’s public charter schools. As a competency-based dropout recovery school, it seeks to provide a high school education that leads to a diploma for a distinct group of students. Students enroll at YouthBuild programs over-aged, under-credited, or both, in order to receive vocational training, counseling, leadership development and an education.",,"Ages of 16 to 24 years old, come from low-income families and underserved communities, and have previously left or been pushed out of the traditional school system without a diploma.","To begin the member application process: Attend a mandatory information meeting usually held on Tuesdays at 4:00 pm. Call 310-631-2000 to confirm time and dat. Complete an application packet and submit all required documentation. Interview with Compton YouthBuild staff. Complete Mental Toughness Orientation (MTO). Final interview with a Director. Once you complete the application process and have been accepted into Compton YouthBuild (CYB) as a member, you may enroll in the high school diploma program with our partner, YouthBuild Charter School of CA (YCSC).  Additionally, you may be co-enrolled in other community partner programs for additional benefits.",School (K-12),Diploma|Alternative Graduation,YouthBuild Charter School of California
20,East LA Site at LA CAUSA YouthBuild,http://www.lacausainc.org/,90022,"5400 East Olympic Blvd., Suite 100 Los Angeles, CA",,323.887.2500,,"YouthBuild Charter School of California (YCSC) holds a unique place in the landscape of  California’s public charter schools. As a competency-based dropout recovery school, it seeks to provide a high school education that leads to a diploma for a distinct group of students. Students enroll at YouthBuild programs over-aged, under-credited, or both, in order to receive vocational training, counseling, leadership development and an education.",,"Ages of 16 to 24 years old, come from low-income families and underserved communities, and have previously left or been pushed out of the traditional school system without a diploma.",,School (K-12),Diploma|Alternative Graduation,YouthBuild Charter School of California
21,Inglewood Site at the Youth Justice Coalition,http://www.youth4justice.org/,90302,"1137 E. Redondo Blvd. Inglewood, CA",,323.235.4243,,"YouthBuild Charter School of California (YCSC) holds a unique place in the landscape of  California’s public charter schools. As a competency-based dropout recovery school, it seeks to provide a high school education that leads to a diploma for a distinct group of students. Students enroll at YouthBuild programs over-aged, under-credited, or both, in order to receive vocational training, counseling, leadership development and an education.",,"Ages of 16 to 24 years old, come from low-income families and underserved communities, and have previously left or been pushed out of the traditional school system without a diploma.",,School (K-12),Diploma|Alternative Graduation,YouthBuild Charter School of California
22,South LA Site at CRCD Academy (located at LA Trade Tech College campus) ,http://www.coalitionrcd.org/what-we-offer/youth/,90015,"400 West Washington Blvd. Los Angeles, CA",,213.763.3795,,"YouthBuild Charter School of California (YCSC) holds a unique place in the landscape of  California’s public charter schools. As a competency-based dropout recovery school, it seeks to provide a high school education that leads to a diploma for a distinct group of students. Students enroll at YouthBuild programs over-aged, under-credited, or both, in order to receive vocational training, counseling, leadership development and an education.",Shawntae Hines562.533.2897shines@coalitionrcd.org,"Ages of 16 to 24 years old, come from low-income families and underserved communities, and have previously left or been pushed out of the traditional school system without a diploma.",,School (K-12),Diploma|Alternative Graduation,YouthBuild Charter School of California
23,Compton,,90221,"1301 East Rosecrans Avenue Suite #105 Compton, CA",,310.885.1477,,"Opportunities For Learning (OFL) is a FREE public charter school, serving students grades 7-12 who have fallen behind in school, are looking to get ahead and graduate early, or simply crave a non-traditional learning environment. This innovative approach to education allows students to learn with great flexibility through: Independent study; Small group (SGI) classes; Online courses; One-on-one, single-subject tutoring; Hands-on, experiential activities, trips, and cultural excursions.",,7th to 12th grade level and under the age of 20.,"The following documents are required to enroll: all high school transcripts, up- to-date Immunization Records, current copy of IEP (if applicable). Pre-register here: http://preregistration.emsofl.com/",School (K-12),Diploma|Alternative Graduation,Opportunities for Learning (OFL)
24,East LA ,,90022,"5301 Whittier Blvd #J Los Angeles, CA",,323. 725.1453,,"Opportunities For Learning (OFL) is a FREE public charter school, serving students grades 7-12 who have fallen behind in school, are looking to get ahead and graduate early, or simply crave a non-traditional learning environment. This innovative approach to education allows students to learn with great flexibility through: Independent study; Small group (SGI) classes; Online courses; One-on-one, single-subject tutoring; Hands-on, experiential activities, trips, and cultural excursions.",,7th to 12th grade level and under the age of 20.,"The following documents are required to enroll: all high school transcripts, up- to-date Immunization Records, current copy of IEP (if applicable). Pre-register here: http://preregistration.emsofl.com/",School (K-12),Diploma|Alternative Graduation,Opportunities for Learning (OFL)
25,Pasadena,,91103,"2029 Lincoln Avenue Pasadena, CA",,626.398.8940,,"Opportunities For Learning (OFL) is a FREE public charter school, serving students grades 7-12 who have fallen behind in school, are looking to get ahead and graduate early, or simply crave a non-traditional learning environment. This innovative approach to education allows students to learn with great flexibility through: Independent study; Small group (SGI) classes; Online courses; One-on-one, single-subject tutoring; Hands-on, experiential activities, trips, and cultural excursions.",,7th to 12th grade level and under the age of 20.,"The following documents are required to enroll: all high school transcripts, up- to-date Immunization Records, current copy of IEP (if applicable). Pre-register here: http://preregistration.emsofl.com/",School (K-12),Diploma|Alternative Graduation,Opportunities for Learning (OFL)
26,Vermont,,90044,"8219 S Vermont Los Angeles, CA",,323.778.2166,,"Opportunities For Learning (OFL) is a FREE public charter school, serving students grades 7-12 who have fallen behind in school, are looking to get ahead and graduate early, or simply crave a non-traditional learning environment. This innovative approach to education allows students to learn with great flexibility through: Independent study; Small group (SGI) classes; Online courses; One-on-one, single-subject tutoring; Hands-on, experiential activities, trips, and cultural excursions.",,7th to 12th grade level and under the age of 20.,"The following documents are required to enroll: all high school transcripts, up- to-date Immunization Records, current copy of IEP (if applicable). Pre-register here: http://preregistration.emsofl.com/",School (K-12),Diploma|Alternative Graduation,Opportunities for Learning (OFL)
27,Watts,,90059,"638 East El Segundo Blvd Los Angeles, CA",,310.329.3626,,"Opportunities For Learning (OFL) is a FREE public charter school, serving students grades 7-12 who have fallen behind in school, are looking to get ahead and graduate early, or simply crave a non-traditional learning environment. This innovative approach to education allows students to learn with great flexibility through: Independent study; Small group (SGI) classes; Online courses; One-on-one, single-subject tutoring; Hands-on, experiential activities, trips, and cultural excursions.",,7th to 12th grade level and under the age of 20.,"The following documents are required to enroll: all high school transcripts, up- to-date Immunization Records, current copy of IEP (if applicable). Pre-register here: http://preregistration.emsofl.com/",School (K-12),Diploma|Alternative Graduation,Opportunities for Learning (OFL)
28,Abram Friedman Occupational Center,www.afoc.edu ,90015,"1646 S. Olive St. Los Angeles, CA",,213.765.2407,Monday – Friday:7:00 a.m. - 8:00 p.m.,Alternative Education and Work Center (AEWC) is a dropout recovery program administered by the Division of Adult and Career Education (DACE) of LAUSD. AEWC students are 16-18 year old teens who have dropped out of school. AEWC provides these students with educational opportunities leading to a high school diploma or equivalency and career technical education training programs.,Latasha Hawthorne(213) 241-3154lrh6435@lausd.net,Ages 16-18For students who are out of school and want their high school diploma.,"Enrollment in the AEWC program is completed at individual AEWC Sites. Students interested in the program should contact the AEWC Site closest to them for specific details about testing and orientation meetings. Enrollment is taken throughout the year, however, students are enrolled based on available space. The program operates on a year round schedule.",School (K-12),Diploma|Alternative Graduation,LAUSD Alternative Education and Work Center (AEWC)
29,Jefferson,,90011,"2830 S. Central Ave. Los Angeles, CA",,323.235.6125,,Alternative Education and Work Center (AEWC) is a dropout recovery program administered by the Division of Adult and Career Education (DACE) of LAUSD. AEWC students are 16-18 year old teens who have dropped out of school. AEWC provides these students with educational opportunities leading to a high school diploma or equivalency and career technical education training programs.,Latasha Hawthorne(213) 241-3154lrh6435@lausd.net,Ages 16-18For students who are out of school and want their high school diploma.,"Enrollment in the AEWC program is completed at individual AEWC Sites. Students interested in the program should contact the AEWC Site closest to them for specific details about testing and orientation meetings. Enrollment is taken throughout the year, however, students are enrolled based on available space. The program operates on a year round schedule.",School (K-12),Diploma|Alternative Graduation,LAUSD Alternative Education and Work Center (AEWC)
30,Fremont,,90003,"501 E. 66th St. Los Angeles, CA",,323.758.7593,,Alternative Education and Work Center (AEWC) is a dropout recovery program administered by the Division of Adult and Career Education (DACE) of LAUSD. AEWC students are 16-18 year old teens who have dropped out of school. AEWC provides these students with educational opportunities leading to a high school diploma or equivalency and career technical education training programs.,Latasha Hawthorne(213) 241-3154lrh6435@lausd.net,Ages 16-18For students who are out of school and want their high school diploma.,"Enrollment in the AEWC program is completed at individual AEWC Sites. Students interested in the program should contact the AEWC Site closest to them for specific details about testing and orientation meetings. Enrollment is taken throughout the year, however, students are enrolled based on available space. The program operates on a year round schedule.",School (K-12),Diploma|Alternative Graduation,LAUSD Alternative Education and Work Center (AEWC)
31,Maxine Waters Employment,http://watersprepcntr-lausd-ca.schoolloop.com/,90059,"10925 S. Central Ave Los Angeles, CA",,323.357.7700 ext. 7125,Monday – Thursday: 7:30 a.m.- 9:00 p.m. Friday: 8:00 a.m. – 4 :00 p.m.,Alternative Education and Work Center (AEWC) is a dropout recovery program administered by the Division of Adult and Career Education (DACE) of LAUSD. AEWC students are 16-18 year old teens who have dropped out of school. AEWC provides these students with educational opportunities leading to a high school diploma or equivalency and career technical education training programs.,Latasha Hawthorne(213) 241-3154lrh6435@lausd.net,Ages 16-18For students who are out of school and want their high school diploma.,"Enrollment in the AEWC program is completed at individual AEWC Sites. Students interested in the program should contact the AEWC Site closest to them for specific details about testing and orientation meetings. Enrollment is taken throughout the year, however, students are enrolled based on available space. The program operates on a year round schedule.",School (K-12),Diploma|Alternative Graduation,LAUSD Alternative Education and Work Center (AEWC)
32,East Los Angeles Occupational Center,www.eastlaservicearea.org,90033,"2100 Marengo St. Los Angeles, CA",,323.276.7050,Monday – Thursday 8:00 a.m. - 8:00 p.m. Friday 8:00 a.m. - 3:00 p.m.,Alternative Education and Work Center (AEWC) is a dropout recovery program administered by the Division of Adult and Career Education (DACE) of LAUSD. AEWC students are 16-18 year old teens who have dropped out of school. AEWC provides these students with educational opportunities leading to a high school diploma or equivalency and career technical education training programs.,Latasha Hawthorne(213) 241-3154lrh6435@lausd.net,Ages 16-18For students who are out of school and want their high school diploma.,"Enrollment in the AEWC program is completed at individual AEWC Sites. Students interested in the program should contact the AEWC Site closest to them for specific details about testing and orientation meetings. Enrollment is taken throughout the year, however, students are enrolled based on available space. The program operates on a year round schedule.",School (K-12),Diploma|Alternative Graduation,LAUSD Alternative Education and Work Center (AEWC)
33,East Los Angeles Skills Center,,90031,"3921 Selig Place Los Angeles, CA",,323.224.5990,,Alternative Education and Work Center (AEWC) is a dropout recovery program administered by the Division of Adult and Career Education (DACE) of LAUSD. AEWC students are 16-18 year old teens who have dropped out of school. AEWC provides these students with educational opportunities leading to a high school diploma or equivalency and career technical education training programs.,Latasha Hawthorne(213) 241-3154lrh6435@lausd.net,Ages 16-18For students who are out of school and want their high school diploma.,"Enrollment in the AEWC program is completed at individual AEWC Sites. Students interested in the program should contact the AEWC Site closest to them for specific details about testing and orientation meetings. Enrollment is taken throughout the year, however, students are enrolled based on available space. The program operates on a year round schedule. Registration and Counseling Hours:Monday-Friday 8:00 AM- 4:00 PM.",School (K-12),Diploma|Alternative Graduation,LAUSD Alternative Education and Work Center (AEWC)
34,Franklin,,90042,"820 N. Avenue 54, B29 Los Angeles, CA",,323.982.6804,,Alternative Education and Work Center (AEWC) is a dropout recovery program administered by the Division of Adult and Career Education (DACE) of LAUSD. AEWC students are 16-18 year old teens who have dropped out of school. AEWC provides these students with educational opportunities leading to a high school diploma or equivalency and career technical education training programs.,Latasha Hawthorne(213) 241-3154lrh6435@lausd.net,Ages 16-18For students who are out of school and want their high school diploma.,"Enrollment in the AEWC program is completed at individual AEWC Sites. Students interested in the program should contact the AEWC Site closest to them for specific details about testing and orientation meetings. Enrollment is taken throughout the year, however, students are enrolled based on available space. The program operates on a year round schedule.",School (K-12),Diploma|Alternative Graduation,LAUSD Alternative Education and Work Center (AEWC)
35,Garfield,,90022,"4355 Michigan Ave. Los Angeles, CA",,323.729.1817,,Alternative Education and Work Center (AEWC) is a dropout recovery program administered by the Division of Adult and Career Education (DACE) of LAUSD. AEWC students are 16-18 year old teens who have dropped out of school. AEWC provides these students with educational opportunities leading to a high school diploma or equivalency and career technical education training programs.,Latasha Hawthorne(213) 241-3154lrh6435@lausd.net,Ages 16-18For students who are out of school and want their high school diploma.,"Enrollment in the AEWC program is completed at individual AEWC Sites. Students interested in the program should contact the AEWC Site closest to them for specific details about testing and orientation meetings. Enrollment is taken throughout the year, however, students are enrolled based on available space. The program operates on a year round schedule.",School (K-12),Diploma|Alternative Graduation,LAUSD Alternative Education and Work Center (AEWC)
36,Roosevelt,,90063,"134 S. Eastman Ave. Los Angeles, CA",,323.261.2837,,Alternative Education and Work Center (AEWC) is a dropout recovery program administered by the Division of Adult and Career Education (DACE) of LAUSD. AEWC students are 16-18 year old teens who have dropped out of school. AEWC provides these students with educational opportunities leading to a high school diploma or equivalency and career technical education training programs.,Latasha Hawthorne(213) 241-3154lrh6435@lausd.net,Ages 16-18For students who are out of school and want their high school diploma.,"Enrollment in the AEWC program is completed at individual AEWC Sites. Students interested in the program should contact the AEWC Site closest to them for specific details about testing and orientation meetings. Enrollment is taken throughout the year, however, students are enrolled based on available space. The program operates on a year round schedule.",School (K-12),Diploma|Alternative Graduation,LAUSD Alternative Education and Work Center (AEWC)
37,Crenshaw,,90008,"3833 S. Crenshaw Blvd. Los Angeles, CA",,323.421.1804,,Alternative Education and Work Center (AEWC) is a dropout recovery program administered by the Division of Adult and Career Education (DACE) of LAUSD. AEWC students are 16-18 year old teens who have dropped out of school. AEWC provides these students with educational opportunities leading to a high school diploma or equivalency and career technical education training programs.,Latasha Hawthorne(213) 241-3154lrh6435@lausd.net,Ages 16-18For students who are out of school and want their high school diploma.,"Enrollment in the AEWC program is completed at individual AEWC Sites. Students interested in the program should contact the AEWC Site closest to them for specific details about testing and orientation meetings. Enrollment is taken throughout the year, however, students are enrolled based on available space. The program operates on a year round schedule.",School (K-12),Diploma|Alternative Graduation,LAUSD Alternative Education and Work Center (AEWC)
38,LA Trade Tech Center,,90018,"820 W. Washington Blvd. Los Angeles, CA",,323.732.0153 ext. 223,,Alternative Education and Work Center (AEWC) is a dropout recovery program administered by the Division of Adult and Career Education (DACE) of LAUSD. AEWC students are 16-18 year old teens who have dropped out of school. AEWC provides these students with educational opportunities leading to a high school diploma or equivalency and career technical education training programs.,Latasha Hawthorne(213) 241-3154lrh6435@lausd.net,Ages 16-18For students who are out of school and want their high school diploma.,"Enrollment in the AEWC program is completed at individual AEWC Sites. Students interested in the program should contact the AEWC Site closest to them for specific details about testing and orientation meetings. Enrollment is taken throughout the year, however, students are enrolled based on available space. The program operates on a year round schedule.",School (K-12),Diploma|Alternative Graduation,LAUSD Alternative Education and Work Center (AEWC)
39,Evans AEWC,www.evansla.org,90026,"1018 Mohawk Street Los Angeles, CA",,213.353.5330,,Alternative Education and Work Center (AEWC) is a dropout recovery program administered by the Division of Adult and Career Education (DACE) of LAUSD. AEWC students are 16-18 year old teens who have dropped out of school. AEWC provides these students with educational opportunities leading to a high school diploma or equivalency and career technical education training programs.,Latasha Hawthorne(213) 241-3154lrh6435@lausd.net,Ages 16-18For students who are out of school and want their high school diploma.,"Enrollment in the AEWC program is completed at individual AEWC Sites. Students interested in the program should contact the AEWC Site closest to them for specific details about testing and orientation meetings. Enrollment is taken throughout the year, however, students are enrolled based on available space. The program operates on a year round schedule.",School (K-12),Diploma|Alternative Graduation,LAUSD Alternative Education and Work Center (AEWC)
40,Meyler Adult Learning Center,,90502,"1123 West 223rd Street Torrance, CA",,310.320.2419,,Alternative Education and Work Center (AEWC) is a dropout recovery program administered by the Division of Adult and Career Education (DACE) of LAUSD. AEWC students are 16-18 year old teens who have dropped out of school. AEWC provides these students with educational opportunities leading to a high school diploma or equivalency and career technical education training programs.,Latasha Hawthorne(213) 241-3154lrh6435@lausd.net,Ages 16-18For students who are out of school and want their high school diploma.,"Enrollment in the AEWC program is completed at individual AEWC Sites. Students interested in the program should contact the AEWC Site closest to them for specific details about testing and orientation meetings. Enrollment is taken throughout the year, however, students are enrolled based on available space. The program operates on a year round schedule.",School (K-12),Diploma|Alternative Graduation,LAUSD Alternative Education and Work Center (AEWC)
