id,organization,url,zip,address,phone,hours
74,"Hope, Opportunity, Motivation, and Education (H.O.M.E.)",,90008,"4131-35 Palmwood Dr., Los Angeles, CA",,
75,Houses That Watts Built,http://www.thehousesthatwattsbuilt.org/,90061,"11303 Avalon Blvd., Los Angeles, CA",323.455.0897,
76,iFoster,https://ifoster.org/,96161,"10049 Martif Valley Road, Truckee, CA",1.855.936.7837,"Our Resources and Supports are available 24/7 online and accessible via computer, smartphone or tablet."
77,Institute for Maximun Human Potential,http://www.imhp.org/,90002,"9624 Compton Avenue, Los Angeles, CA",323.567.9884,
78,John Burton Foundation,http://www.johnburtonfoundation.org/,94104,"235 Montgomery Street, Suite 1142, San Francisco CA",415.348.0011,
79,John Muir Charter Schools,http://www.johnmuircs.com/,95949,"12338 McCourtney Road, Grass Valley, CA",530.272.4008,
80,Jordan's Disciples Community Service,http://www.jordansdisciplescommunityservice.org/,90059,"618 E. Lanzit Ave., Los Angeles, CA",323.392.7653,
81,Jordan's Transitional Shelter,,90221,"1616 E. Pine Street, Compton, CA",323.577.5941 or 424.785.7781,
82,Jovenes Inc.,http://www.jovenesinc.org/#0,90033,"1208 Pleasant Ave., Los Angeles, CA",323.260.8035,
83,Jovenes Inc. - La Posada Shelter,http://www.jovenesinc.org/,90033,"1320 Pleasant Ave., Los Angeles, CA",323.260.8035,
84,Kaiser Permanente Watts Counseling & Learning Center,http://community.kp.org/be-informed/program/watts-counseling-and-learning-center,90002,"1465 E 103rd St., Los Angeles, CA",323.564.7911,Monday - Friday 7:30am - 7:00pm Saturday 7:30 - 4:00pm
85,Khan Academy,https://www.khanacademy.org/,,online,,
86,LA County Public Library,http://www.colapublib.org/children/tutor/,,online,,Everyday from 3:00 p.m. - 10:00 p.m
87,LA Gay and Lesbian Center- Highland Annez,http://www.lalgbtcenter.org/,90038,"1220 N. Highland Ave., Los Angeles, CA",323.860.2280,
88,LA Kicthen,http://www.lakitchen.org/,90031,"230 W Ave, 26, Los Angeles, CA",213-268-8122,
89,LA Youth at Work,http://www.layouthatwork.org/,90017,"350 S. Bixel St., Los Angeles, CA",213.580.7580,
90,Lamp Community,http://www.lampcommunity.org/,90013,"526 San Pedro St., Los Angeles, CA",213.488.9559,
91,LAUSD Alternative Education and Work Center (AEWC),https://adulted-lausd-ca.schoolloop.com/,90017,"333 S. Beaudry Ave., 18th Floor, Los Angeles, CA",213.241.3150,Monday – Friday 7:30 a.m. to 5:00 p.m.
92,LAUSD Career Technical Education (CTE),https://adulted-lausd-ca.schoolloop.com/,90017,"333 S. Beaudry Ave., 18th Floor, Los Angeles, CA",213.241.3150,Monday – Friday 7:30 a.m. to 5:00 p.m.
93,Law Project of Los Angeles,http://www.lawprojectla.org/,90045,"8939 South Sepulveda # 110-756, Los Angeles, CA",213.254.2405,
94,Learning Rights Law Center,http://www.learningrights.org/,90012,"205 S. Broadway #808, Los Angeles, CA",213.489.4030,
95,Life Wireless,http://www.lifewireless.com/,94102,"505 Van Ness Avenue, San Francisco CA",1.888.543.3620,
96,Lillie of the Valley Homeless Shelter Transitional,,90047,"8311 S. Western Ave., Los Angeles, CA 90047",323.753.1900,
97,Los Angeles City College (LACC),http://www.lacitycollege.edu/,90029,"855 N. Vermont Ave., Los Angeles, CA",323.953.4000,Hours vary per program
98,Los Angeles City: Economic & Workforce Development Department,www.hirelayouth.com,90017,"1200 West 7th Street, 6th floor, Los Angeles, CA",213.744.7300,
99,Los Angeles County Office of Education (LACOE),http://www.lacoe.edu/StudentServices/HomelessFosterYouth/FosterYouth/Tutoring.aspx,90242,"9300 Imperial Highway, Downey, CA",562.922.6111,Monday - Friday 8:00am - 4:30pm
100,Los Angeles County: Community and Senior Services,http://youthjobs.css.lacounty.gov,90020,"3175 W. 6th Street, Los Angeles, CA",888.226.6300,
101,Los Angeles Department of Children and Family Services (DCFS): Youth Development Services,http://www.ilponline.org/,90010,"Metroplex Office: 3530 Wilshire Blvd., 4th floor, Los Angeles CA",1.877.694.5741,
102,Los Angeles LGBT Center,http://www.lalgbtcenter.org/,90038,"1220 N Highland Ave., Los Angeles, CA",323.860.2280,Monday-Friday: 8:30 a.m.- 5:30 p.m. Saturday- Sunday: 8:30 a.m.- 4:30 p.m.
103,Los Angeles Mission,https://losangelesmission.org/,90060,"303 East 5th Street, Los Angeles, CA",213.629.1227,
104,Los Angeles Southwest College,http://www.lasc.edu/,90047,"1600 Imperial Hwy, Los Angeles, CA",,Hours vary per program
105,Los Angeles Trade Technical College (LATTC),http://www.lattc.edu/,90015,"400 West Washington Blvd., Los Angeles, CA",213.763.7000,Hours vary per program
106,Mental Health Advocacy Services,http://www.mhas-la.org/,90010,"3255 Wilshire Blvd., Suite 902, Los Angeles, CA",213.389.2077,
107,MetroHealth Station,http://metrohealthstation.com/,90018,"3501 West Jefferson Blvd., Los Angeles, CA",323.730.1205,Monday - Friday: 9:00 a.m. - 5:00 p.m. Saturday: 9:00 a.m. - 1:00 p.m. (Appointment Only) Sunday closed.
108,Mission of Faith Outreach Shelter,,90002,"9558 Compton Ave., Los Angeles, CA",626.393.7448,
109,MJB Recovery Inc.,,90061,"11152 S. Main St., Los Angeles, CA",323.777.2491,
110,My Friend's Place,http://myfriendsplace.org/,90028,"5850 Hollywood Blvd., Los Angeles, CA",323.908.0011,Monday -Friday: 9:00 a.m. – 5:30 p.m.
111,National Foster Youth Institute (NFYI),http://www.nfyi.org/,90010,"3550 Wilshire Blvd.,Suite 1601, Los Angeles, CA",213.221.1176,Monday-Friday 9:00am-5:00pm
112,Neighboorhood Legal Servies of Los Angeles County,http://www.nlsla.org,91205,"1102 East Chevy Chase Drive, Glendale, CA",800.433.6251 Legal Assistance 800-896-3203 Health Consumer,
113,New Image Shelter,http://newimageshelter.org/,90037,"3804 Broadway Pl, Los Angeles, CA",323.231.1711,
114,New Way of Life,http://www.anewwayoflife.org/contact/,90087,"PO Box 875288, Los Angeles, CA",323.563.3575,Monday-Friday 9:00am-5:00pm
115,Nurse Family Partnership,http://www.nursefamilypartnership.org/,90056,"5110 West Goldleaf Circle, Suite 150, Los Angeles, CA",323.421.2143 or 323.421.1360,Monday - Friday 8:00am-5:00pm
116,OCRA Disability Rights California,http://www.disabilityrightsca.org/about/ocra.htm,90017,"350 South Bixel Street, Suite 290, Los Angeles CA",213.213.8000,
117,Olin Virtual Academy,http://www.olinacademy.org/,91214,"2600 Foothill Blvd. Suite 301, La Crescenta, CA",1800.985.0770,Monday- Friday: 8:00 am - 4:00 pm
118,One Nation Ministries,,90262,"11155 Atlantic Ave., Lynwood, CA",562.804.4157,
119,Opportunities for Learning (OFL),https://emsofl.com/,91107,"320 N. Halstead Street, Pasadena, CA",888.207.1119,Monday - Friday 8:30 a.m. to 4:30 p.m.
120,Organization,URL,Zip,Address,Phone,Hours
121,Pacific Clincs,http://www.pacificclinics.org/,91107,"2550 E Foothill Blvd., Pasadena, CA",626.255.5874,
122,Para Los Ninos,http://paralosninos.org/,90031,"500 Lucas Avenue, Los Angeles, CA",213.250.4800,
123,Para Los Ninos (Spanish),http://paralosninos.org/,90037,"St. John’s Well Child Family Center 808 W. 58th Street, Los Angeles, CA",323.541.1411,
124,Pasadena City College (PCC),http://www.pasadena.edu/,91106,"1570 E. Colorado Blvd., Pasadena, CA",626.585.7123,Hours vary per program
125,People Assisting the Homeless (PATH) - Family Solutions Center (FSC),,90004,"340 N Madison Ave., Los Angeles, CA",323.232.9000 ext. 223,
126,People Assisting the Homeless (PATH) - First 5 Program,,90004,"340 N Madison Ave., Los Angeles, CA",323.232.9000 ext. 223,
127,Planned Parenthood,https://www.plannedparenthood.org/,90007,"400 West 30th Street, Los Angeles, CA",213-284-3200,Monday-Friday 8:30am-5:00pm
128,Project Fresh Start,http://pwils67.wix.com/pfs_beta#!,90003,"8720 S Figueroa St., Los Angeles, CA",,
129,Proyecto Pastoral at Dolores Mission,http://www.proyectopastoral.org/,90033,"135 N. Mission Road, Los Angeles, CA",323. 881.0018,
130,Public Counsel,http://www.publiccounsel.org/,90010,"610 S. Ardmore Ave., Los Angeles, CA",213.385.2977 ext. 500,"Calls are received on Mondays, Tuesdays, and Wednesdays only."
131,Ready To Succeed,http://www.readytosucceedla.org/,90064,"11614 W. Olympic Blvd., Los Angeles, CA",,
132,Renaissance Unlimited Homes,,90016,"2718 S Redondo Blvd., Los Angeles, CA",909.262.8015,
133,Rosemary's Children's Services,http://www.rosemarychildren.org/,91107,"36 S Kinneloa Ave., Ste. 200, Pasadena, CA",626.844.3033,
134,Sanctuary of Hope,http://www.thesoh.org/,90043,"PO Box 431038, Los Angeles, CA",323.786.2413,"Monday, and Wednesday, Thursday: 10 am -5 pm Friday: 10 am – 2 pm"
135,Santa Monica College,http://www.smc.edu/Pages/default.aspx,90405,"1900 Pico Boulevard, Santa Monica, CA",310.434.4000,Hours vary per program
136,Society of St. Vincent de Paul- Social Services Dept.,https://www.svdpusa.org/,90013,"231 Winston St., Los Angeles, CA",213.229.9971,
137,St. Anne's,http://www.stannes.org/,90026,"155 N. Occidental Blvd., Los Angeles, CA",213.381.2931,
138,ST. JOHN’S WELL CHILD & FAMILY CENTER (SJWCFC),http://www.wellchild.org/,90037,"808 W. 58th St., Los Angeles, CA",323.541.1411,
139,Step Out,http://scharpca.com/index.php,90262,"2610 Industry Way, Suite A, Lynwood, CA",310.631.8004,
140,Sunshine Mission for Women,,90007,"2600 South Hoover Street, Los Angeles, CA",213.747.7419,
141,Team Housing,,90221,"102 N. Poinsettia Ave., Suite 206, Compton, CA",310.631.9516,
142,Testimonial Community Love Center,http://www.testimonialclc.org/,90062,"5721 S. Western Ave., Los Angeles, CA",323.291.6753,
143,The L.A. Trust,http://thelatrust.org/,90017,"333 S. Beaudry Ave., 29th Floor, Los Angeles, CA",213.241.3511,Monday - Friday 8:30am-6:00pm
144,The Right Way Foundation,http://www.therightwayfoundation.org/,90008,"4333 Leimert Blvd (Leimert Park), Los Angeles, CA",323.903.5021,Monday-Friday 9:00am-5:00pm
145,The Volunteer Income Tax Assistance (VITA),https://www.irs.gov/Individuals/Free-Tax-Return-Preparation-for-You-by-Volunteers,,"To locate the nearest VITA or TCE site near you, use the VITA Locator Tool here: http://irs.treasury.gov/freetaxprep/",800-906-9887,
146,Union Rescue Mission,http://urm.org/,90013,"545 S San Pedro St., Los Angeles, CA",213.347.6300,
147,United Friends of the Children (UFC),http://www.unitedfriends.org/,90017,"1055 Wilshire Blvd., Suite 1955, Los Angeles, CA",213.580.1850,Monday – Friday: 9:00 AM – 5:00 PM
148,"University of California, Los Angeles",http://www.ucla.edu/,90095,"405 Hilgard Ave., Los Angeles, CA",310.825.4321,Hours vary per program
149,University of Southern California (USC),http://www.usc.edu/,90089,"University of Southern California, Los Angeles, CA",213.740.2311,Hours vary per program
150,Volunteers of America-Pathways to Home,http://www.voa.org/,90037,"3804 Broadway Pl., Los Angeles, CA",213.798.9440,
151,Volunteers of America-Women's Care Cottage,,,,818.623.0209,
152,Watts Labor Community Action Committee (WLCAC)-(Imperial Courts),http://www.wlcac.org/,90059,"10950 S. Central Ave., Watts, CA",323.563.5639,
153,West Los Angeles College,http://www.wlac.edu/,90230,"9000 Overland Ave., Culver City, CA",310.287.4200,Hours vary per program
154,WIC,https://www.cdph.ca.gov/programs/wicworks/Pages/default.aspx,91706,"12781 Schabarum Ave., Irwindale, CA",888.942.2229,"Monday, Tuesday, Thursday 8:30am-5:30pm; Wednesday 9:30am-7:15pm; Friday 8:30am-5:30pm"
155,Williams K. Foundation,http://www.williamkwarrenfoundation.org/,90047,"1505 W. 70th St., Los Angeles, CA 90047",323.758.7293,
156,WLCAC Homeless Access Center,http://www.wlcac.org/homeless-services,90059,"958 E. 108th St., Los Angeles, CA",323.563.4721,
157,Youth Justice Coalition,http://www.youth4justice.org/,90302,1137 E. Redondo Blvd., Inglewood CA,323.235.4243
158,Youth Moving On (YMO),youthmovingon.org,91104,"456 E Orange Grove, Suite 140, Pasadena, CA",626.765.6010,
159,YouthBuild Charter School of California,http://www.youthbuildcharter.org/,90015,"155 West Washington Blvd., Suite 944, Los Angeles, CA",213.741.2600,Monday - Friday 8:30 a.m. to 4:30 p.m.
160,YouthSource Center Los Angeles: YO Watts,,90002,"1513 E 103rd St., Los Angeles, CA",323.971.7659,
161,"YouthSource Center: Youth Opportunity Movement, Watts",,90002,"1513 E 103rd St., Los Angeles, CA",323.971.7659,
162,YouthSource Center: Youth Policy Institute (YPI),http://www.ypiusa.org/,90014,"634 S. Spring St., 10th Floor, Los Angeles, CA",213.971.7640,
163,YouthSource Los Angeles: Archdiocesan Youth Employment Services (AYE),http://www.ayela.org/,90010,"3250 Wilshire Blvd., Suite 1010, Los Angeles, CA",213.736.5456,
164,YouthSource Los Angeles: Brotherhood Crusade,http://www.brotherhoodcrusade.org/about/programs-services/youth-development-programs,90043,"5414 S. Crenshaw Blvd., Los Angeles, CA",323.545.1130 ext. 200,
165,YouthSource Los Angeles: Coalition for Responsible Community Development (CRCD),http://www.coalitionrcd.org/,90011,"1006 E. 28th Street, Los Angeles, CA",323.521.1910 Ext. 210,
166,YouthSource Los Angeles: LA Conservation Corps,http://lacorps.org/,90015,"605 W. Olympic Blvd., Suite 450, Los Angeles, CA",213.749.3601,
167,YouthSource Los Angeles: Para Los Ninos-Power of One Youth Workforce Service,http://paralosninos.org/,90031,"500 Lucas Avenue, Los Angeles, CA",213.250.4800,
168,YouthSource Los Angeles: Watts Labor Community Action Committee (WLCAC)-(Imperial Courts),http://www.wlcac.org/,90059,"10950 S. Central Ave., Watts, CA",323.563.5639,
